angle,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
0,0.004927,0.011749,-0.053258,0.060807,0.016483,-0.031692,-0.016868,0.085759,0.045693,-0.012833,-0.043732,-0.002057,0.031778,0.047443,0.026927,-0.023333,0.000000,0.995265,0.021438,-0.089751,0.023603,-0.137044,-0.028036,-0.191852,-0.176654,-0.156050,0.496297,0.503703,0.444971,0.444276
0,0.005211,-0.018160,-0.036913,0.061362,0.012300,-0.030822,0.007942,0.060925,0.027709,-0.018778,-0.019779,0.024475,0.039072,0.019429,-0.018520,-0.012271,0.000000,0.982933,0.031321,-0.081605,-0.005984,-0.114129,-0.044286,-0.195702,-0.147171,-0.177336,0.497579,0.502421,0.675722,0.675722
0,0.010810,0.031729,-0.112794,0.080070,0.041068,-0.024515,-0.085750,0.074268,0.150751,0.064299,-0.051572,-0.021149,0.007802,0.069377,0.113297,0.259705,0.000000,0.996586,0.016834,-0.107883,0.069422,-0.254927,-0.069533,-0.198814,-0.335417,-0.390360,0.493106,0.506894,0.286555,0.295489
0,0.010787,0.030924,-0.115330,0.082927,0.041345,-0.023848,-0.085277,0.074903,0.149934,0.063694,-0.047589,-0.022292,0.003875,0.075108,0.146245,0.305234,0.000000,0.997809,0.022847,-0.130908,0.067421,-0.257631,-0.070118,-0.203801,-0.393675,-0.482140,0.493138,0.506862,0.228545,0.234630
0,0.010779,0.030930,-0.115312,0.082977,0.041328,-0.023808,-0.085292,0.074896,0.149888,0.063646,-0.047567,-0.022301,0.003840,0.075143,0.146303,0.305292,0.000000,0.997810,0.022840,-0.130977,0.067683,-0.257620,-0.070514,-0.204293,-0.393889,-0.483115,0.493141,0.506859,0.228397,0.234440
0,0.010608,0.026483,-0.082103,0.066002,0.038901,-0.021191,-0.083739,0.072641,0.143402,0.063150,-0.033871,-0.022568,0.000043,0.049581,0.026198,0.121087,0.000000,0.999001,0.023837,-0.078162,0.073457,-0.252607,-0.066567,-0.206801,-0.306500,-0.292529,0.491604,0.508396,0.279738,0.289735
0,0.008663,0.018837,-0.109058,0.085211,0.046270,-0.023849,-0.088471,0.062985,0.144551,0.057971,-0.044644,-0.020398,0.007596,0.071198,0.162004,0.298343,0.000000,0.998576,0.031498,-0.126508,0.062022,-0.260396,-0.069095,-0.189008,-0.387864,-0.466822,0.491301,0.508699,0.343058,0.356475
0,0.011983,0.030998,-0.117509,0.072456,0.040313,-0.018766,-0.089504,0.080966,0.147510,0.059705,-0.040303,-0.022237,-0.005726,0.079929,0.091916,0.194453,0.000000,0.982373,0.025289,-0.071293,0.052303,-0.260850,-0.067381,-0.204986,-0.387022,-0.333760,0.489667,0.510333,0.559323,0.564801
0,0.010370,0.038586,-0.050599,0.054464,0.037415,-0.037738,-0.055680,0.055592,0.130628,0.051138,-0.018225,-0.016449,-0.039959,0.011200,0.018900,0.017813,0.000000,0.645149,-0.001014,-0.079124,0.055843,-0.251894,-0.127450,-0.187657,-0.010408,0.361427,0.493166,0.506834,1.141858,1.129698
0,-0.008143,-0.004646,-0.021465,-0.008539,0.016845,-0.001400,-0.010102,-0.008519,0.025194,-0.002921,-0.001117,-0.000187,0.000708,0.017122,0.019239,-0.006381,0.000188,-0.032543,0.196574,0.287091,0.315421,0.527700,0.473222,0.946709,0.387062,0.956560,0.500392,0.499608,1.486306,1.485172
0,0.006883,0.000178,-0.003598,0.005103,-0.012482,0.025354,0.008526,-0.010694,0.000113,0.000232,-0.004748,-0.001352,-0.012069,-0.003377,-0.027641,-0.008810,-0.000854,-0.034569,0.043563,0.395206,0.311425,0.733096,0.167294,1.080792,0.576253,1.186671,0.499801,0.500199,1.486539,1.486808
0,0.005467,0.011198,-0.058773,0.064708,0.026842,-0.023744,-0.033022,0.079028,0.058741,0.005266,-0.043852,-0.005685,0.011089,0.055069,0.070766,0.064402,0.000000,0.982527,0.027304,-0.073214,0.038354,-0.173452,-0.025311,-0.177230,-0.223805,-0.219644,0.493877,0.506123,0.662167,0.664527
0,0.004655,0.010364,-0.053295,0.060410,0.016139,-0.025050,-0.015331,0.083539,0.040810,-0.015450,-0.042319,-0.001737,0.030208,0.044807,0.023935,-0.034268,0.000000,0.995558,0.021025,-0.088664,0.019987,-0.133331,-0.026363,-0.186696,-0.168385,-0.142909,0.496466,0.503534,0.444605,0.443210
0,0.004702,0.010312,-0.053247,0.060514,0.016066,-0.025078,-0.015072,0.083792,0.040366,-0.015739,-0.040461,-0.000095,0.030354,0.042917,0.018681,-0.033886,0.000000,0.995489,0.021041,-0.085284,0.019106,-0.136463,-0.031080,-0.186160,-0.160792,-0.149749,0.496442,0.503558,0.448004,0.446666
0,0.004678,0.010145,-0.053040,0.060462,0.015677,-0.025283,-0.014309,0.083447,0.040099,-0.016393,-0.039907,0.000088,0.031019,0.040253,0.018250,-0.037169,0.000000,0.995548,0.020721,-0.086499,0.018463,-0.128366,-0.029295,-0.178264,-0.157363,-0.144358,0.496509,0.503491,0.444530,0.443228
0,0.004597,0.005257,-0.038307,0.061559,0.010190,-0.027494,0.032941,0.072950,0.010349,-0.027107,-0.003491,0.042447,0.034574,-0.007166,-0.067562,0.006304,0.000000,0.985136,0.025209,-0.093535,-0.008060,-0.086180,-0.114649,-0.197337,-0.120406,-0.336945,0.495383,0.504617,0.690688,0.690423
0,0.010594,0.029475,-0.121122,0.063988,0.039872,-0.024040,-0.087863,0.061897,0.145138,0.057873,-0.050287,-0.019312,0.008068,0.077393,0.161492,0.305783,0.000000,0.998244,0.023508,-0.129803,0.067461,-0.258348,-0.070525,-0.203739,-0.398347,-0.489151,0.494170,0.505830,0.261100,0.270908
270,-0.005711,-0.023492,-0.032824,-0.024122,-0.048668,-0.055680,-0.109647,-0.150045,-0.150358,-0.105234,-0.060267,-0.047053,-0.001336,0.015792,-0.024415,0.030303,0.000000,0.094141,0.514844,0.645508,0.311263,0.119723,0.071593,0.470667,0.157563,0.755115,0.516022,0.483978,1.409388,1.432539
270,-0.007088,0.018212,-0.004648,0.000677,-0.010048,-0.005496,-0.009152,0.003982,0.016655,-0.002828,-0.005591,-0.001683,0.007077,0.019046,0.001226,-0.012567,-0.000875,-0.040426,-0.064348,0.510953,0.293931,0.913334,0.423866,0.990756,0.348886,1.170385,0.501154,0.498846,1.486583,1.483892
270,-0.120395,-0.260073,-0.277288,-0.308700,-0.307307,-0.382461,-0.434167,-0.480475,-0.534181,-0.599796,-0.636527,-0.634826,-0.617882,-0.606899,-0.614385,-0.583595,-0.000333,0.782192,0.896204,0.947694,0.018545,0.032765,0.028552,0.020180,0.000581,-0.026431,0.673429,0.326571,0.479307,0.333655
270,-0.119278,-0.259945,-0.277360,-0.308384,-0.307116,-0.382545,-0.433773,-0.480457,-0.534663,-0.599147,-0.637171,-0.633580,-0.617762,-0.609111,-0.614144,-0.584778,-0.000333,0.778139,0.895001,0.946356,0.019944,0.039448,0.029885,0.009792,-0.007757,-0.025706,0.675349,0.324651,0.500183,0.346293
270,-0.118799,-0.259904,-0.277376,-0.308311,-0.307148,-0.382528,-0.433861,-0.480465,-0.535028,-0.599005,-0.636696,-0.632830,-0.617921,-0.608636,-0.614382,-0.584320,-0.000333,0.777942,0.894898,0.946140,0.019755,0.041038,0.029582,0.017219,-0.013603,-0.023252,0.675264,0.324736,0.500642,0.347121
270,-0.081867,-0.269546,-0.288196,-0.309786,-0.311075,-0.376933,-0.434881,-0.479161,-0.535252,-0.589749,-0.622835,-0.609059,-0.608523,-0.598511,-0.595929,-0.561707,0.000000,0.749202,0.841995,0.957981,0.033196,0.029536,0.012822,-0.041246,-0.059758,-0.019309,0.695637,0.304363,0.777168,0.616300
270,-0.051205,-0.164908,-0.202120,-0.305776,-0.318109,-0.418812,-0.432957,-0.458718,-0.499240,-0.547402,-0.539780,-0.514339,-0.510553,-0.542790,-0.608795,-0.666646,-0.000229,0.949795,0.817964,0.953326,0.006693,-0.117458,-0.110141,-0.012548,0.268376,0.292419,0.609994,0.390006,0.330403,0.212840
270,-0.049463,-0.164732,-0.195169,-0.304789,-0.327460,-0.428421,-0.434979,-0.459591,-0.497973,-0.546275,-0.541433,-0.515503,-0.513865,-0.549522,-0.625387,-0.693285,-0.000229,0.957988,0.820098,0.985299,-0.009307,-0.109637,-0.098192,-0.016243,0.286584,0.330298,0.609843,0.390157,0.316802,0.186712
